mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name
33.5,4,98,83,2075,15.9,77,1,"""dodge colt m/m"""
15,8,429,198,4341,10,70,1,"""ford galaxie 500"""
30,4,135,84,2385,12.9,81,1,"""plymouth reliant"""
44.3,4,90,48,2085,21.7,80,2,"""vw rabbit c (diesel)"""
31.5,4,98,68,2045,18.5,77,3,"""honda accord cvcc"""
26.6,4,151,84,2635,16.4,81,1,"""buick skylark"""
14,8,318,150,4077,14,72,1,"""plymouth satellite custom (sw)"""
18,6,225,105,3613,16.5,74,1,"""plymouth satellite sebring"""
38,4,105,63,2125,14.7,82,1,"""plymouth horizon miser"""
17,6,231,110,3907,21,75,1,"""buick century"""
31.5,4,89,71,1990,14.9,78,2,"""volkswagen scirocco"""
12,8,429,198,4952,11.5,73,1,"""mercury marquis brougham"""
26,4,121,113,2234,12.5,70,2,"""bmw 2002"""
24,4,120,97,2489,15,74,3,"""honda civic"""
31,4,119,82,2720,19.4,82,1,"""chevy s-10"""
19,4,120,88,3270,21.9,76,2,"""peugeot 504"""
24,4,120,97,2489,15,74,3,"""honda civic"""
13,8,307,130,4098,14,72,1,"""chevrolet chevelle concours (sw)"""
29,4,90,70,1937,14.2,76,2,"""vw rabbit"""
31.5,4,89,71,1990,14.9,78,2,"""volkswagen scirocco"""
19,4,122,85,2310,18.5,73,1,"""ford pinto"""
15,8,318,150,3399,11,73,1,"""dodge dart custom"""
23.9,4,119,97,2405,14.9,78,3,"""datsun 200-sx"""
29.9,4,98,65,2380,20.7,81,1,"""ford escort 2h"""
26.8,6,173,115,2700,12.9,79,1,"""oldsmobile omega brougham"""
11,8,400,150,4997,14,73,1,"""chevrolet impala"""
21,6,231,110,3039,15,75,1,"""buick skyhawk"""
35.7,4,98,80,1915,14.4,79,1,"""dodge colt hatchback custom"""
43.1,4,90,48,1985,21.5,78,2,"""volkswagen rabbit custom diesel"""
27,4,151,90,2735,18,82,1,"""pontiac phoenix"""
37.7,4,89,62,2050,17.3,81,3,"""toyota tercel"""
17.7,6,231,165,3445,13.4,78,1,"""buick regal sport coupe (turbo)"""
13,8,350,145,3988,13,73,1,"""chevrolet malibu"""
34.1,4,91,68,1985,16,81,3,"""mazda glc 4"""
36,4,120,88,2160,14.5,82,3,"""nissan stanza xe"""
34.4,4,98,65,2045,16.2,81,1,"""ford escort 4w"""
20.8,6,200,85,3070,16.7,78,1,"""mercury zephyr"""
17.5,8,305,140,4215,13,76,1,"""chevrolet chevelle malibu classic"""
29.9,4,98,65,2380,20.7,81,1,"""ford escort 2h"""
20.3,5,131,103,2830,15.9,78,2,"""audi 5000"""
18,4,121,112,2933,14.5,72,2,"""volvo 145e (sw)"""
14,8,350,165,4209,12,71,1,"""chevrolet impala"""
16,8,400,230,4278,9.5,73,1,"""pontiac grand prix"""
24.5,4,151,88,2740,16,77,1,"""pontiac sunbird coupe"""
24.5,4,151,88,2740,16,77,1,"""pontiac sunbird coupe"""
14,8,302,137,4042,14.5,73,1,"""ford gran torino"""
20.6,6,231,105,3380,15.8,78,1,"""buick century special"""
38,4,91,67,1995,16.2,82,3,"""datsun 310 gx"""
12,8,429,198,4952,11.5,73,1,"""mercury marquis brougham"""
25.4,6,168,116,2900,12.6,81,3,"""toyota cressida"""
37.2,4,86,65,2019,16.4,80,3,"""datsun 310"""
35.1,4,81,60,1760,16.1,81,3,"""honda civic 1300"""
14,8,318,150,4457,13.5,74,1,"""dodge coronet custom (sw)"""
29.9,4,98,65,2380,20.7,81,1,"""ford escort 2h"""
13,8,318,150,3755,14,76,1,"""dodge d100"""
20,4,130,102,3150,15.7,76,2,"""volvo 245"""
13,8,318,150,3940,13.2,76,1,"""plymouth volare premier v8"""
24,4,107,90,2430,14.5,70,2,"""audi 100 ls"""
33,4,105,74,2190,14.2,81,2,"""volkswagen jetta"""
29.8,4,134,90,2711,15.5,80,3,"""toyota corona liftback"""
33.5,4,98,83,2075,15.9,77,1,"""dodge colt m/m"""
27.2,4,141,71,3190,24.8,79,2,"""peugeot 504"""
22,6,198,95,2833,15.5,70,1,"""plymouth duster"""
18.1,6,258,120,3410,15.1,78,1,"""amc concord d/l"""
25,4,90,71,2223,16.5,75,2,"""volkswagen dasher"""
27,4,112,88,2640,18.6,82,1,"""chevrolet cavalier wagon"""
15,8,350,145,4440,14,75,1,"""chevrolet bel air"""
28,4,97,92,2288,17,72,3,"""datsun 510 (sw)"""
22,4,140,72,2408,19,71,1,"""chevrolet vega (sw)"""
20.3,5,131,103,2830,15.9,78,2,"""audi 5000"""
26,4,96,69,2189,18,72,2,"""renault 12 (sw)"""
34.4,4,98,65,2045,16.2,81,1,"""ford escort 4w"""
31.5,4,89,71,1990,14.9,78,2,"""volkswagen scirocco"""
27,4,112,88,2640,18.6,82,1,"""chevrolet cavalier wagon"""
14,8,455,225,4425,10,70,1,"""pontiac catalina"""
27,4,140,86,2790,15.6,82,1,"""ford mustang gl"""
29.9,4,98,65,2380,20.7,81,1,"""ford escort 2h"""
24,4,119,97,2545,17,75,3,"""datsun 710"""
38,4,105,63,2125,14.7,82,1,"""plymouth horizon miser"""
34.1,4,91,68,1985,16,81,3,"""mazda glc 4"""
14,8,340,160,3609,8,70,1,"""plymouth 'cuda 340"""
24,4,120,97,2489,15,74,3,"""honda civic"""
26,4,96,69,2189,18,72,2,"""renault 12 (sw)"""
18,6,225,95,3785,19,75,1,"""plymouth fury"""
16,8,400,230,4278,9.5,73,1,"""pontiac grand prix"""
20,4,130,102,3150,15.7,76,2,"""volvo 245"""
31,4,112,85,2575,16.2,82,1,"""pontiac j2000 se hatchback"""
33,4,105,74,2190,14.2,81,2,"""volkswagen jetta"""
14,8,455,225,4425,10,70,1,"""pontiac catalina"""
13,8,350,165,4274,12,72,1,"""chevrolet impala"""
20.3,5,131,103,2830,15.9,78,2,"""audi 5000"""
29.5,4,97,71,1825,12.2,76,2,"""volkswagen rabbit"""
25,4,121,115,2671,13.5,75,2,"""saab 99le"""
14,8,455,225,3086,10,70,1,"""buick estate wagon (sw)"""
24,4,113,95,2372,15,70,3,"""toyota corona mark ii"""
35.1,4,81,60,1760,16.1,81,3,"""honda civic 1300"""
27,4,112,88,2640,18.6,82,1,"""chevrolet cavalier wagon"""
33.7,4,107,75,2210,14.4,81,3,"""honda prelude"""
11,8,429,208,4633,11,72,1,"""mercury marquis"""
30.7,6,145,76,3160,19.6,81,2,"""volvo diesel"""
15,6,250,72,3432,21,75,1,"""mercury monarch"""
21.5,4,121,110,2600,12.8,77,2,"""bmw 320i"""
26.5,4,140,72,2565,13.6,76,1,"""ford pinto"""
15,8,350,145,4082,13,73,1,"""chevrolet monte carlo s"""
27.2,4,119,97,2300,14.7,78,3,"""datsun 510"""
25.4,5,183,77,3530,20.1,79,2,"""mercedes benz 300d"""
15,8,318,150,3777,12.5,73,1,"""dodge coronet custom"""
27,4,140,86,2790,15.6,82,1,"""ford mustang gl"""
20.3,5,131,103,2830,15.9,78,2,"""audi 5000"""
21,6,155,107,2472,14,73,1,"""mercury capri v6"""
20.2,6,200,85,2965,15.8,78,1,"""ford fairmont (auto)"""
32.2,4,108,75,2265,15.2,80,3,"""toyota corolla"""
30.5,4,97,78,2190,14.1,77,2,"""volkswagen dasher"""
19,6,232,100,2901,16,74,1,"""amc hornet"""
13,8,307,130,4098,14,72,1,"""chevrolet chevelle concours (sw)"""
22,6,198,95,2833,15.5,70,1,"""plymouth duster"""
23.7,3,70,100,2420,12.5,80,3,"""mazda rx-7 gs"""
14,8,302,137,4042,14.5,73,1,"""ford gran torino"""
30,4,146,67,3250,21.8,80,2,"""mercedes-benz 240d"""
28,4,90,75,2125,14.5,74,1,"""dodge colt"""
13,8,318,150,3940,13.2,76,1,"""plymouth volare premier v8"""
29.5,4,97,71,1825,12.2,76,2,"""volkswagen rabbit"""
13,8,302,129,3169,12,75,1,"""ford mustang ii"""
27,4,112,88,2640,18.6,82,1,"""chevrolet cavalier wagon"""
21,6,199,90,2648,15,70,1,"""amc gremlin"""
28,4,120,79,2625,18.6,82,1,"""ford ranger"""
27.4,4,121,80,2670,15,79,1,"""amc spirit dl"""
19.8,6,200,85,2990,18.2,79,1,"""mercury zephyr 6"""
27.2,4,119,97,2300,14.7,78,3,"""datsun 510"""
39.4,4,85,70,2070,18.6,78,3,"""datsun b210 gx"""
20.2,6,200,88,3060,17.1,81,1,"""ford granada gl"""
33.5,4,98,83,2075,15.9,77,1,"""dodge colt m/m"""
25.5,4,140,89,2755,15.8,77,1,"""ford mustang ii 2+2"""
27,4,112,88,2640,18.6,82,1,"""chevrolet cavalier wagon"""
29.8,4,89,62,1845,15.3,80,2,"""vokswagen rabbit"""
13,8,302,130,3870,15,76,1,"""ford f108"""
33.5,4,98,83,2075,15.9,77,1,"""dodge colt m/m"""
25,4,90,71,2223,16.5,75,2,"""volkswagen dasher"""
24,4,119,97,2545,17,75,3,"""datsun 710"""
13,8,440,215,4735,11,73,1,"""chrysler new yorker brougham"""
19.4,8,318,140,3735,13.2,78,1,"""dodge diplomat"""
19,6,232,100,2901,16,74,1,"""amc hornet"""
12,8,350,160,4456,13.5,72,1,"""oldsmobile delta 88 royale"""
15,6,258,110,3730,19,75,1,"""amc matador"""
33.5,4,98,83,2075,15.9,77,1,"""dodge colt m/m"""
21.1,4,134,95,2515,14.8,78,3,"""toyota celica gt liftback"""
31,4,71,65,1773,19,71,3,"""toyota corolla 1200"""
28,4,140,90,2264,15.5,71,1,"""chevrolet vega 2300"""
28.8,6,173,115,2595,11.3,79,1,"""chevrolet citation"""
33,4,91,53,1795,17.4,76,3,"""honda civic"""
27.4,4,121,80,2670,15,79,1,"""amc spirit dl"""
24,4,140,92,2865,16.4,82,1,"""ford fairmont futura"""
15,6,250,72,3158,19.5,75,1,"""ford maverick"""
23.7,3,70,100,2420,12.5,80,3,"""mazda rx-7 gs"""
14,8,440,215,4312,8.5,70,1,"""plymouth fury iii"""
29.5,4,97,71,1825,12.2,76,2,"""volkswagen rabbit"""
22,6,198,95,2833,15.5,70,1,"""plymouth duster"""
43.4,4,90,48,2335,23.7,80,2,"""vw dasher (diesel)"""
37,4,85,65,1975,19.4,81,3,"""datsun 210 mpg"""
30,4,97,67,1985,16.4,77,3,"""subaru dl"""
29.8,4,89,62,1845,15.3,80,2,"""vokswagen rabbit"""
11,8,429,208,4633,11,72,1,"""mercury marquis"""
20.2,6,200,88,3060,17.1,81,1,"""ford granada gl"""
25.5,4,140,89,2755,15.8,77,1,"""ford mustang ii 2+2"""
27.5,4,134,95,2560,14.2,78,3,"""toyota corona"""
15,6,258,110,3730,19,75,1,"""amc matador"""
25,4,121,115,2671,13.5,75,2,"""saab 99le"""
24,6,200,81,3012,17.6,76,1,"""ford maverick"""
12,8,429,198,4952,11.5,73,1,"""mercury marquis brougham"""
34.1,4,91,68,1985,16,81,3,"""mazda glc 4"""
14,8,340,160,3609,8,70,1,"""plymouth 'cuda 340"""
26,4,116,75,2246,14,74,2,"""fiat 124 tc"""
20.3,5,131,103,2830,15.9,78,2,"""audi 5000"""
36,4,79,58,1825,18.6,77,2,"""renault 5 gtl"""
25,4,90,71,2223,16.5,75,2,"""volkswagen dasher"""
32.1,4,98,70,2120,15.5,80,1,"""chevrolet chevette"""
15.5,8,304,120,3962,13.9,76,1,"""amc matador"""
15,8,304,150,3892,12.5,72,1,"""amc matador (sw)"""
29.9,4,98,65,2380,20.7,81,1,"""ford escort 2h"""
33.5,4,98,83,2075,15.9,77,1,"""dodge colt m/m"""
15,8,429,198,4341,10,70,1,"""ford galaxie 500"""
13,8,350,145,3988,13,73,1,"""chevrolet malibu"""
14,8,455,225,4425,10,70,1,"""pontiac catalina"""
15,6,250,72,3432,21,75,1,"""mercury monarch"""
20.3,5,131,103,2830,15.9,78,2,"""audi 5000"""
29.8,4,89,62,1845,15.3,80,2,"""vokswagen rabbit"""
23,4,97,54,2254,23.5,72,2,"""volkswagen type 3"""
9,8,304,193,4732,18.5,70,1,"""hi 1200d"""
27,4,112,88,2640,18.6,82,1,"""chevrolet cavalier wagon"""
24,4,113,95,2372,15,70,3,"""toyota corona mark ii"""
28.4,4,151,90,2670,16,79,1,"""buick skylark limited"""
20.2,6,200,88,3060,17.1,81,1,"""ford granada gl"""
31,4,119,82,2720,19.4,82,1,"""chevy s-10"""
16,8,318,150,4190,13,76,1,"""dodge coronet brougham"""
31,4,119,82,2720,19.4,82,1,"""chevy s-10"""
31,4,71,65,1773,19,71,3,"""toyota corolla 1200"""
15,6,258,110,3730,19,75,1,"""amc matador"""
27.5,4,134,95,2560,14.2,78,3,"""toyota corona"""
44.3,4,90,48,2085,21.7,80,2,"""vw rabbit c (diesel)"""
32,4,144,96,2665,13.9,82,3,"""toyota celica gt"""
15,8,390,190,3850,8.5,70,1,"""amc ambassador dpl"""
20,8,262,110,3221,13.5,75,1,"""chevrolet monza 2+2"""
21.5,6,231,115,3245,15.4,79,1,"""pontiac lemans v6"""
23,4,120,97,2506,14.5,72,3,"""toyouta corona mark ii (sw)"""
31,4,119,82,2720,19.4,82,1,"""chevy s-10"""
17.6,8,302,129,3725,13.4,79,1,"""ford ltd landau"""
31,4,112,85,2575,16.2,82,1,"""pontiac j2000 se hatchback"""
9,8,304,193,4732,18.5,70,1,"""hi 1200d"""
27.5,4,134,95,2560,14.2,78,3,"""toyota corona"""
20.3,5,131,103,2830,15.9,78,2,"""audi 5000"""
29.5,4,97,71,1825,12.2,76,2,"""volkswagen rabbit"""
30,4,97,67,1985,16.4,77,3,"""subaru dl"""
22,4,121,76,2511,18,72,2,"""volkswagen 411 (sw)"""
19,4,122,85,2310,18.5,73,1,"""ford pinto"""
23.9,4,119,97,2405,14.9,78,3,"""datsun 200-sx"""
18.6,6,225,110,3620,18.7,78,1,"""dodge aspen"""
33.5,4,98,83,2075,15.9,77,1,"""dodge colt m/m"""
37.2,4,86,65,2019,16.4,80,3,"""datsun 310"""
15.5,8,350,170,4165,11.4,77,1,"""chevrolet monte carlo landau"""
16,8,318,150,4190,13,76,1,"""dodge coronet brougham"""
14,8,400,175,4464,11.5,71,1,"""pontiac catalina brougham"""
17,6,231,110,3907,21,75,1,"""buick century"""
19,4,121,112,2868,15.5,73,2,"""volvo 144ea"""
18,3,70,90,2124,13.5,73,3,"""maxda rx3"""
25,4,140,92,2572,14.9,76,1,"""capri ii"""
20,8,262,110,3221,13.5,75,1,"""chevrolet monza 2+2"""
27,4,151,90,2735,18,82,1,"""pontiac phoenix"""
22,4,121,98,2945,14.5,75,2,"""volvo 244dl"""
32.9,4,119,100,2615,14.8,81,3,"""datsun 200sx"""
26.5,4,140,72,2565,13.6,76,1,"""ford pinto"""
10,8,360,215,4615,14,70,1,"""ford f250"""
27,4,97,88,2130,14.5,70,3,"""datsun pl510"""
22,6,146,97,2815,14.5,77,3,"""datsun 810"""
17.6,8,302,129,3725,13.4,79,1,"""ford ltd landau"""
21.6,4,121,115,2795,15.7,78,2,"""saab 99gle"""
32,4,85,70,1990,17,76,3,"""datsun b-210"""
16,6,250,105,3897,18.5,75,1,"""chevroelt chevelle malibu"""
20.3,5,131,103,2830,15.9,78,2,"""audi 5000"""
31.6,4,120,74,2635,18.3,81,3,"""mazda 626"""
28.8,6,173,115,2595,11.3,79,1,"""chevrolet citation"""
24,4,140,92,2865,16.4,82,1,"""ford fairmont futura"""
24,4,113,95,2372,15,70,3,"""toyota corona mark ii"""
29,4,90,70,1937,14,75,2,"""volkswagen rabbit"""
14,8,304,150,4257,15.5,74,1,"""amc matador (sw)"""
20.2,6,200,88,3060,17.1,81,1,"""ford granada gl"""
23.8,4,151,85,2855,17.6,78,1,"""oldsmobile starfire sx"""
20.2,6,200,85,2965,15.8,78,1,"""ford fairmont (auto)"""
21,4,120,87,2979,19.5,72,2,"""peugeot 504 (sw)"""
16,8,351,149,4335,14.5,77,1,"""ford thunderbird"""
31.6,4,120,74,2635,18.3,81,3,"""mazda 626"""
14,8,302,137,4042,14.5,73,1,"""ford gran torino"""
14,8,302,140,4638,16,74,1,"""ford gran torino (sw)"""
21,6,199,90,2648,15,70,1,"""amc gremlin"""
26.6,4,151,84,2635,16.4,81,1,"""buick skylark"""
13,8,302,129,3169,12,75,1,"""ford mustang ii"""
18.1,6,258,120,3410,15.1,78,1,"""amc concord d/l"""
19,6,250,88,3302,15.5,71,1,"""ford torino 500"""
14,8,340,160,3609,8,70,1,"""plymouth 'cuda 340"""
19,6,156,108,2930,15.5,76,3,"""toyota mark ii"""
26,4,96,69,2189,18,72,2,"""renault 12 (sw)"""
31.5,4,89,71,1990,14.9,78,2,"""volkswagen scirocco"""
27.5,4,134,95,2560,14.2,78,3,"""toyota corona"""
15,8,318,150,3399,11,73,1,"""dodge dart custom"""
26,4,97,46,1950,21,73,2,"""volkswagen super beetle"""
27.5,4,134,95,2560,14.2,78,3,"""toyota corona"""
16,8,351,149,4335,14.5,77,1,"""ford thunderbird"""
28.1,4,141,80,3230,20.4,81,2,"""peugeot 505s turbo diesel"""
16.5,8,351,138,3955,13.2,79,1,"""mercury grand marquis"""
25.5,4,140,89,2755,15.8,77,1,"""ford mustang ii 2+2"""
18,6,225,95,3785,19,75,1,"""plymouth fury"""
11,8,400,150,4997,14,73,1,"""chevrolet impala"""
21.5,4,121,110,2600,12.8,77,2,"""bmw 320i"""
22,4,121,98,2945,14.5,75,2,"""volvo 244dl"""
23.9,8,260,90,3420,22.2,79,1,"""oldsmobile cutlass salon brougham"""
26,4,96,69,2189,18,72,2,"""renault 12 (sw)"""
32.2,4,108,75,2265,15.2,80,3,"""toyota corolla"""
19,6,250,88,3302,15.5,71,1,"""ford torino 500"""
15.5,8,304,120,3962,13.9,76,1,"""amc matador"""
43.1,4,90,48,1985,21.5,78,2,"""volkswagen rabbit custom diesel"""
24,4,140,92,2865,16.4,82,1,"""ford fairmont futura"""
15,6,250,72,3432,21,75,1,"""mercury monarch"""
16,8,400,180,4220,11.1,77,1,"""pontiac grand prix lj"""
29.8,4,134,90,2711,15.5,80,3,"""toyota corona liftback"""
44.6,4,91,67,1850,13.8,80,3,"""honda civic 1500 gl"""
23,4,140,83,2639,17,75,1,"""ford pinto"""
28,4,90,75,2125,14.5,74,1,"""dodge colt"""
24,4,116,75,2158,15.5,73,2,"""opel manta"""
17,6,231,110,3907,21,75,1,"""buick century"""
10,8,360,215,4615,14,70,1,"""ford f250"""
14,8,304,150,4257,15.5,74,1,"""amc matador (sw)"""
14,8,350,165,4209,12,71,1,"""chevrolet impala"""
26.4,4,140,88,2870,18.1,80,1,"""ford fairmont"""
14,8,304,150,4257,15.5,74,1,"""amc matador (sw)"""
26.5,4,140,72,2565,13.6,76,1,"""ford pinto"""
37,4,85,65,1975,19.4,81,3,"""datsun 210 mpg"""
11,8,400,150,4997,14,73,1,"""chevrolet impala"""
29.8,4,89,62,1845,15.3,80,2,"""vokswagen rabbit"""
19,6,225,95,3264,16,75,1,"""plymouth valiant custom"""
20,6,232,100,2914,16,75,1,"""amc gremlin"""
13,8,350,165,4274,12,72,1,"""chevrolet impala"""
14,8,351,153,4154,13.5,71,1,"""ford galaxie 500"""
38,4,91,67,1995,16.2,82,3,"""datsun 310 gx"""
33,4,91,53,1795,17.5,75,3,"""honda civic cvcc"""
32,4,135,84,2295,11.6,82,1,"""dodge rampage"""
30,4,97,67,1985,16.4,77,3,"""subaru dl"""
16,6,250,100,3278,18,73,1,"""chevrolet nova custom"""
20.2,6,200,88,3060,17.1,81,1,"""ford granada gl"""
15,8,429,198,4341,10,70,1,"""ford galaxie 500"""
33.7,4,107,75,2210,14.4,81,3,"""honda prelude"""
26,4,116,75,2246,14,74,2,"""fiat 124 tc"""
17.6,8,302,129,3725,13.4,79,1,"""ford ltd landau"""
26,4,121,113,2234,12.5,70,2,"""bmw 2002"""
20.6,6,225,110,3360,16.6,79,1,"""dodge aspen 6"""
32.2,4,108,75,2265,15.2,80,3,"""toyota corolla"""
33.7,4,107,75,2210,14.4,81,3,"""honda prelude"""
11,8,400,150,4997,14,73,1,"""chevrolet impala"""
25,4,110,87,2672,17.5,70,2,"""peugeot 504"""
13,8,360,175,3821,11,73,1,"""amc ambassador brougham"""
24,4,134,96,2702,13.5,75,3,"""toyota corona"""
37,4,85,65,1975,19.4,81,3,"""datsun 210 mpg"""
28.8,6,173,115,2595,11.3,79,1,"""chevrolet citation"""
28.8,6,173,115,2595,11.3,79,1,"""chevrolet citation"""
16,8,302,140,4141,14,74,1,"""ford gran torino"""
18,6,250,88,3021,16.5,73,1,"""ford maverick"""
17.5,6,250,110,3520,16.4,77,1,"""chevrolet concours"""
17.6,8,302,129,3725,13.4,79,1,"""ford ltd landau"""
12,8,350,160,4456,13.5,72,1,"""oldsmobile delta 88 royale"""
13,8,318,150,3940,13.2,76,1,"""plymouth volare premier v8"""
20.3,5,131,103,2830,15.9,78,2,"""audi 5000"""
36.1,4,91,60,1800,16.4,78,3,"""honda civic cvcc"""
44,4,97,52,2130,24.6,82,2,"""vw pickup"""
31.6,4,120,74,2635,18.3,81,3,"""mazda 626"""
15,6,258,110,3730,19,75,1,"""amc matador"""
31.5,4,89,71,1990,14.9,78,2,"""volkswagen scirocco"""
28,4,97,92,2288,17,72,3,"""datsun 510 (sw)"""
36,4,120,88,2160,14.5,82,3,"""nissan stanza xe"""
29.5,4,97,71,1825,12.2,76,2,"""volkswagen rabbit"""
33.5,4,98,83,2075,15.9,77,1,"""dodge colt m/m"""
44.3,4,90,48,2085,21.7,80,2,"""vw rabbit c (diesel)"""
15,8,318,150,3399,11,73,1,"""dodge dart custom"""
27,4,112,88,2640,18.6,82,1,"""chevrolet cavalier wagon"""
22,6,146,97,2815,14.5,77,3,"""datsun 810"""
29.8,4,134,90,2711,15.5,80,3,"""toyota corona liftback"""
13,8,360,175,3821,11,73,1,"""amc ambassador brougham"""
14,8,455,225,4425,10,70,1,"""pontiac catalina"""
15.5,8,400,190,4325,12.2,77,1,"""chrysler cordoba"""
24,4,113,95,2372,15,70,3,"""toyota corona mark ii"""
37.2,4,86,65,2019,16.4,80,3,"""datsun 310"""
32.9,4,119,100,2615,14.8,81,3,"""datsun 200sx"""
16,6,250,100,3278,18,73,1,"""chevrolet nova custom"""
16.5,8,351,138,3955,13.2,79,1,"""mercury grand marquis"""
17,6,163,125,3140,13.6,78,2,"""volvo 264gl"""
32.9,4,119,100,2615,14.8,81,3,"""datsun 200sx"""
15.5,8,351,142,4054,14.3,79,1,"""ford country squire (sw)"""
16,6,250,105,3897,18.5,75,1,"""chevroelt chevelle malibu"""
14,8,302,140,4638,16,74,1,"""ford gran torino (sw)"""
25.4,5,183,77,3530,20.1,79,2,"""mercedes benz 300d"""
27,4,97,88,2130,14.5,70,3,"""datsun pl510"""
20,6,156,122,2807,13.5,73,3,"""toyota mark ii"""
32.1,4,98,70,2120,15.5,80,1,"""chevrolet chevette"""
29.9,4,98,65,2380,20.7,81,1,"""ford escort 2h"""
25,4,140,75,2542,17,74,1,"""chevrolet vega"""
19.1,6,225,90,3381,18.7,80,1,"""dodge aspen"""
13,8,318,150,3940,13.2,76,1,"""plymouth volare premier v8"""
19,4,121,112,2868,15.5,73,2,"""volvo 144ea"""
29,4,90,70,1937,14,75,2,"""volkswagen rabbit"""
31,4,119,82,2720,19.4,82,1,"""chevy s-10"""
21.1,4,134,95,2515,14.8,78,3,"""toyota celica gt liftback"""
29.8,4,89,62,1845,15.3,80,2,"""vokswagen rabbit"""
27,4,101,83,2202,15.3,76,2,"""renault 12tl"""
28,4,112,88,2605,19.6,82,1,"""chevrolet cavalier"""
27,4,151,90,2950,17.3,82,1,"""chevrolet camaro"""
31.5,4,89,71,1990,14.9,78,2,"""volkswagen scirocco"""
20.2,6,200,88,3060,17.1,81,1,"""ford granada gl"""
24,6,200,81,3012,17.6,76,1,"""ford maverick"""
14,8,351,148,4657,13.5,75,1,"""ford ltd"""
19.2,6,231,105,3535,19.2,78,1,"""pontiac phoenix lj"""
10,8,360,215,4615,14,70,1,"""ford f250"""
33,4,105,74,2190,14.2,81,2,"""volkswagen jetta"""
26,4,121,113,2234,12.5,70,2,"""bmw 2002"""
21,6,199,90,2648,15,70,1,"""amc gremlin"""
37.2,4,86,65,2019,16.4,80,3,"""datsun 310"""
27.2,4,141,71,3190,24.8,79,2,"""peugeot 504"""
21.6,4,121,115,2795,15.7,78,2,"""saab 99gle"""
21.5,3,80,110,2720,13.5,77,3,"""mazda rx-4"""
20,8,262,110,3221,13.5,75,1,"""chevrolet monza 2+2"""
29,4,98,83,2219,16.5,74,2,"""audi fox"""
19.8,6,200,85,2990,18.2,79,1,"""mercury zephyr 6"""
19,4,121,112,2868,15.5,73,2,"""volvo 144ea"""
20.6,6,225,110,3360,16.6,79,1,"""dodge aspen 6"""
27.2,4,119,97,2300,14.7,78,3,"""datsun 510"""
20,4,114,91,2582,14,73,2,"""audi 100ls"""
31,4,112,85,2575,16.2,82,1,"""pontiac j2000 se hatchback"""
13,8,350,155,4502,13.5,72,1,"""buick lesabre custom"""
25,6,181,110,2945,16.4,82,1,"""buick century limited"""
33.5,4,85,70,1945,16.8,77,3,"""datsun f-10 hatchback"""
29,4,98,83,2219,16.5,74,2,"""audi fox"""
37,4,85,65,1975,19.4,81,3,"""datsun 210 mpg"""
11,8,400,150,4997,14,73,1,"""chevrolet impala"""
21,6,199,90,2648,15,70,1,"""amc gremlin"""
17.6,8,302,129,3725,13.4,79,1,"""ford ltd landau"""
16,8,400,180,4220,11.1,77,1,"""pontiac grand prix lj"""
25.4,5,183,77,3530,20.1,79,2,"""mercedes benz 300d"""
21.6,4,121,115,2795,15.7,78,2,"""saab 99gle"""
44,4,97,52,2130,24.6,82,2,"""vw pickup"""
15,6,258,110,3730,19,75,1,"""amc matador"""
13,8,350,145,3988,13,73,1,"""chevrolet malibu"""
32,4,85,70,1990,17,76,3,"""datsun b-210"""
36.1,4,91,60,1800,16.4,78,3,"""honda civic cvcc"""
25,6,181,110,2945,16.4,82,1,"""buick century limited"""
22,6,225,100,3233,15.4,76,1,"""plymouth valiant"""
20,6,232,100,2914,16,75,1,"""amc gremlin"""
20,6,232,100,2914,16,75,1,"""amc gremlin"""
23,6,198,95,2904,16,73,1,"""plymouth duster"""
32.2,4,108,75,2265,15.2,80,3,"""toyota corolla"""
26,4,121,113,2234,12.5,70,2,"""bmw 2002"""
33.5,4,98,83,2075,15.9,77,1,"""dodge colt m/m"""
15,8,318,150,3399,11,73,1,"""dodge dart custom"""
13,8,350,145,3988,13,73,1,"""chevrolet malibu"""
29,4,90,70,1937,14.2,76,2,"""vw rabbit"""
14,8,351,153,4129,13,72,1,"""ford galaxie 500"""
24.5,4,151,88,2740,16,77,1,"""pontiac sunbird coupe"""
29,4,68,49,1867,19.5,73,2,"""fiat 128"""
14,8,351,148,4657,13.5,75,1,"""ford ltd"""
13,8,307,130,4098,14,72,1,"""chevrolet chevelle concours (sw)"""
14,8,351,153,4129,13,72,1,"""ford galaxie 500"""
27.4,4,121,80,2670,15,79,1,"""amc spirit dl"""
16,8,318,150,4190,13,76,1,"""dodge coronet brougham"""
25,4,90,71,2223,16.5,75,2,"""volkswagen dasher"""
24,4,121,110,2660,14,73,2,"""saab 99le"""
17,6,231,110,3907,21,75,1,"""buick century"""
19.2,6,231,105,3535,19.2,78,1,"""pontiac phoenix lj"""
23,6,198,95,2904,16,73,1,"""plymouth duster"""
37,4,85,65,1975,19.4,81,3,"""datsun 210 mpg"""
27,4,101,83,2202,15.3,76,2,"""renault 12tl"""
32.2,4,108,75,2265,15.2,80,3,"""toyota corolla"""
23.2,4,156,105,2745,16.7,78,1,"""plymouth sapporo"""
22,4,108,94,2379,16.5,73,3,"""datsun 610"""
16,8,400,230,4278,9.5,73,1,"""pontiac grand prix"""
